scan_date,analysis_date,ticker,action,confidence,free_tier,halt,entry_bid,stop_loss,target,momentum,chip_analysis,risk_factors,data_quality_flags
2026-04-11,2026-04-03,1595,ERROR,-1,,True,0.0,0.0,0.0,,,,
2026-04-11,2026-04-03,1336,ERROR,-1,,True,0.0,0.0,0.0,,,,
2026-04-11,2026-04-03,1582,ERROR,-1,,True,0.0,0.0,0.0,,,,
2026-04-11,2026-04-03,1471,CAUTION,0,,True,0.0,0.0,0.0,,,Data unavailable: DATE_NOT_IN_OHLCV,DATE_NOT_IN_OHLCV
2026-04-11,2026-04-03,1569,CAUTION,0,,True,0.0,0.0,0.0,,,Data unavailable: DATE_NOT_IN_OHLCV,DATE_NOT_IN_OHLCV
2026-04-11,2026-04-03,2303,CAUTION,0,,True,0.0,0.0,0.0,,,Data unavailable: DATE_NOT_IN_OHLCV,DATE_NOT_IN_OHLCV
2026-04-11,2026-04-03,2302,CAUTION,0,,True,0.0,0.0,0.0,,,Data unavailable: DATE_NOT_IN_OHLCV,DATE_NOT_IN_OHLCV
2026-04-11,2026-04-03,2059,CAUTION,0,,True,0.0,0.0,0.0,,,Data unavailable: DATE_NOT_IN_OHLCV,DATE_NOT_IN_OHLCV
2026-04-11,2026-04-03,1815,CAUTION,0,,True,0.0,0.0,0.0,,,Data unavailable: DATE_NOT_IN_OHLCV,DATE_NOT_IN_OHLCV
2026-04-11,2026-04-03,2301,CAUTION,0,,True,0.0,0.0,0.0,,,Data unavailable: DATE_NOT_IN_OHLCV,DATE_NOT_IN_OHLCV
2026-04-11,2026-04-03,2305,CAUTION,0,,True,0.0,0.0,0.0,,,Data unavailable: DATE_NOT_IN_OHLCV,DATE_NOT_IN_OHLCV
2026-04-11,2026-04-03,2313,ERROR,-1,,True,0.0,0.0,0.0,,,,
2026-04-11,2026-04-03,2324,CAUTION,0,,True,0.0,0.0,0.0,,,Data unavailable: DATE_NOT_IN_OHLCV,DATE_NOT_IN_OHLCV
2026-04-11,2026-04-03,2316,CAUTION,0,,True,0.0,0.0,0.0,,,Data unavailable: DATE_NOT_IN_OHLCV,DATE_NOT_IN_OHLCV
2026-04-11,2026-04-03,2308,CAUTION,0,,True,0.0,0.0,0.0,,,Data unavailable: DATE_NOT_IN_OHLCV,DATE_NOT_IN_OHLCV
2026-04-11,2026-04-03,2330,CAUTION,0,,True,0.0,0.0,0.0,,,Data unavailable: DATE_NOT_IN_OHLCV,DATE_NOT_IN_OHLCV
2026-04-11,2026-04-03,2328,CAUTION,0,,True,0.0,0.0,0.0,,,Data unavailable: DATE_NOT_IN_OHLCV,DATE_NOT_IN_OHLCV
2026-04-11,2026-04-03,2329,CAUTION,0,,True,0.0,0.0,0.0,,,Data unavailable: DATE_NOT_IN_OHLCV,DATE_NOT_IN_OHLCV
2026-04-11,2026-04-03,2337,CAUTION,0,,True,0.0,0.0,0.0,,,Data unavailable: DATE_NOT_IN_OHLCV,DATE_NOT_IN_OHLCV
2026-04-11,2026-04-03,2331,CAUTION,0,,True,0.0,0.0,0.0,,,Data unavailable: DATE_NOT_IN_OHLCV,DATE_NOT_IN_OHLCV
2026-04-11,2026-04-03,2338,CAUTION,0,,True,0.0,0.0,0.0,,,Data unavailable: NO_OHLCV_DATA,NO_OHLCV_DATA
2026-04-11,2026-04-03,2342,CAUTION,0,,True,0.0,0.0,0.0,,,Data unavailable: DATE_NOT_IN_OHLCV,DATE_NOT_IN_OHLCV
2026-04-11,2026-04-03,2340,CAUTION,0,,True,0.0,0.0,0.0,,,Data unavailable: DATE_NOT_IN_OHLCV,DATE_NOT_IN_OHLCV
2026-04-11,2026-04-03,2344,CAUTION,0,,True,0.0,0.0,0.0,,,Data unavailable: DATE_NOT_IN_OHLCV,DATE_NOT_IN_OHLCV
2026-04-11,2026-04-03,2351,CAUTION,0,,True,0.0,0.0,0.0,,,Data unavailable: DATE_NOT_IN_OHLCV,DATE_NOT_IN_OHLCV
2026-04-11,2026-04-03,2356,CAUTION,0,,True,0.0,0.0,0.0,,,Data unavailable: DATE_NOT_IN_OHLCV,DATE_NOT_IN_OHLCV
2026-04-11,2026-04-03,2352,CAUTION,0,,True,0.0,0.0,0.0,,,Data unavailable: DATE_NOT_IN_OHLCV,DATE_NOT_IN_OHLCV
