signal_date,ticker,market,industry,grade,score,vol_ratio,day_chg_pct,gap_pct,close_strength,rsi,close_price,flags,t5_return_pct,t10_return_pct
2026-03-06,3653,TSE,電子零組件業,SURGE_ALPHA,71,2.16,8.76,3.5,0.88,50.0,3415.0,SURGE_GATE_PASS|SURGE_DAY1|VOL_IDEAL:2.16x|CLOSE_STRONG:0.88|IND_HOT:98|POCKET_PIVOT|GAP_FULL:3.5%|RS:+9.0%|BREAKOUT_20D:3415.00>3365.00|RSI_WEAK:50.0|BB_WIDE:0.201,-4.98,12.74
2026-03-06,3714,TSE,光電業,SURGE_BETA,52,2.34,2.09,0.0,0.82,59.8,39.150001525878906,SURGE_GATE_PASS|SURGE_DAY1|VOL_IDEAL:2.34x|CLOSE_STRONG:0.82|IND_WARM:75|POCKET_PIVOT|RS:+2.3%|RSI_HEALTHY:59.8|BB_WIDE:0.129,9.2,22.86
2026-03-06,4167,TPEx,生技醫療業,SURGE_ALPHA,65,2.72,9.76,2.44,1.0,28.6,20.25,SURGE_GATE_PASS|SURGE_DAY1|VOL_IDEAL:2.72x|CLOSE_STRONG:1.00|IND_HOT:100|POCKET_PIVOT|GAP_FULL:2.4%|RS:+10.0%|RSI_WEAK:28.6|BB_SQUEEZE_EXPAND:BB:0.123→0.173,1.23,1.73
2026-03-06,5381,TPEx,電子零組件業,SURGE_BETA,48,2.19,7.02,0.19,0.72,44.2,33.17647171020508,SURGE_GATE_PASS|SURGE_DAY1|VOL_IDEAL:2.19x|CLOSE_HEALTHY:0.72|IND_HOT:96|POCKET_PIVOT|RS:+7.2%|RSI_WEAK:44.2|BB_WIDE:0.219,-10.11,-12.41
2026-03-06,8240,TPEx,光電業,SURGE_BETA,53,2.15,6.27,0.77,0.75,47.9,41.5,SURGE_GATE_PASS|SURGE_DAY1|VOL_IDEAL:2.15x|CLOSE_HEALTHY:0.75|IND_HOT:94|POCKET_PIVOT|GAP_PARTIAL:0.8%|RS:+6.5%|RSI_WEAK:47.9|BB_WIDE:0.118,10.6,34.94
2026-03-09,1309,TSE,塑膠工業,SURGE_ALPHA,71,8.68,9.68,9.68,1.0,64.5,15.300000190734863,SURGE_GATE_PASS|SURGE_DAY2|VOL_EXTREME:8.68x|CLOSE_STRONG:1.00|IND_HOT:96|POCKET_PIVOT|RS:+14.1%|BREAKOUT_20D:15.30>13.95|RSI_HEALTHY:64.5|BB_SQUEEZE_BREAK:BB:0.108→0.265,6.54,30.07
2026-03-09,1305,TSE,塑膠工業,SURGE_ALPHA,63,8.74,6.04,9.81,0.6,62.4,14.050000190734863,SURGE_GATE_PASS|SURGE_DAY2|VOL_EXTREME:8.74x|CLOSE_HEALTHY:0.60|IND_HOT:83|POCKET_PIVOT|RS:+10.5%|BREAKOUT_20D:14.05>13.40|RSI_HEALTHY:62.4|BB_SQUEEZE_EXPAND:BB:0.126→0.207,-2.49,31.32
2026-03-09,1304,TSE,塑膠工業,SURGE_BETA,51,7.56,5.34,9.92,0.57,63.9,13.800000190734863,SURGE_GATE_PASS|SURGE_DAY2|VOL_EXTREME:7.56x|CLOSE_SOFT:0.57|IND_WARM:79|POCKET_PIVOT|RS:+9.8%|BREAKOUT_20D:13.80>13.20|RSI_HEALTHY:63.9|BB_WIDE:0.226,-5.8,19.93
2026-03-09,2820,TSE,金融保險業,SURGE_GAMMA,38,2.54,-1.18,-1.18,0.6,63.0,16.75,SURGE_GATE_PASS|SURGE_DAY1|VOL_IDEAL:2.54x|CLOSE_SOFT:0.60|IND_HOT:86|RS:+3.3%|RSI_HEALTHY:63.0|BB_WIDE:0.099,0.6,-0.9
2026-03-09,3022,TSE,電腦及週邊設備業,SURGE_GAMMA,39,2.54,-0.34,-3.74,1.0,29.1,58.70000076293945,SURGE_GATE_PASS|SURGE_DAY1|VOL_IDEAL:2.54x|CLOSE_STRONG:1.00|IND_HOT:88|RS:+4.1%|RSI_WEAK:29.1|BB_WIDE:0.154,4.26,9.03
